video_id,brand,published_at_utc,channel_id,channel_title,first_seen_utc,matched_fields
mtEvnqmCUe8,buldak,2025-09-09,UCP_1bP3Vy2K1t28gRAhN8Aw,MIKE,2025-09-10T06:32:50.361754+00:00,title|description|tags
ld9Lh0rHdwc,buldak,2025-09-09,UCoflSxJc8ULqK9bpFHViEkQ,CRISPY asmr eating,2025-09-10T06:32:50.361880+00:00,title|description|tags
7m8p_lWRKlg,buldak,2025-09-09,UCWW22aFC0cvuIvqWBhWQjWg,wingstopuk,2025-09-10T06:32:50.361931+00:00,title|description|tags
R3Mg3eMyBS0,buldak,2025-09-09,UCnED80W3Df9vllnuJ4qBqqA,Zsuzsanna Némethné Pogrányi,2025-09-10T06:32:50.361952+00:00,title|description|tags
sRSXHivNMnw,buldak,2025-09-09,UC31BYbrXsyPRudO5Y4H29Cw,StayP Eats,2025-09-10T06:32:50.361970+00:00,title|description|tags
jk6eSlJL0Nw,buldak,2025-09-09,UCOEHrprAvYKNl_L1r5AL1mg,Alleynetwork,2025-09-10T06:32:50.361989+00:00,title|description|tags
BUt0-UHIJcw,buldak,2025-09-09,UCxa0RUW97b215jZcnpcrs9w,Tisha In Texas,2025-09-10T06:32:50.362002+00:00,title|description|tags
iodlkHdua9Y,buldak,2025-09-09,UCEYC05RI_Gr4RC2Y_qcWg_Q,Cheddar Cheese,2025-09-10T06:32:50.362022+00:00,title|description|tags
kvCTLyNOvwQ,buldak,2025-09-09,UCqZVfDVzAxtwWmap5hUukhg,Flavor Flow,2025-09-10T06:32:50.362040+00:00,title|description|tags
OwJufzdmaxc,buldak,2025-09-09,UCabDSFyyHgn1AhntABDk_kg,Планета Тигра,2025-09-10T06:32:50.362056+00:00,title|description|tags
yVfRQ7Gt8fQ,buldak,2025-09-09,UC6_W-x-yawIwI78QthxhBQA,Charity Reign Espante,2025-09-10T06:32:50.362074+00:00,title|description|tags
WK52sfxnljE,buldak,2025-09-09,UCabDSFyyHgn1AhntABDk_kg,Планета Тигра,2025-09-10T06:32:50.362087+00:00,title|description|tags
NrjKtJQiq_0,buldak,2025-09-09,UC3mnWjxohjl4BuI53mKFd_g,চিত্তাকর্ষক,2025-09-10T06:32:50.362106+00:00,title|description|tags
WU9lhsNR_Fg,buldak,2025-09-09,UChNW_iQwIsYi0iu95WdZ8hQ,helloabbiesoo,2025-09-10T06:32:50.362125+00:00,title|description|tags
oSvcTGhC1HQ,buldak,2025-09-09,UCa4nMHWVUirT5JcBvLC8i4A,Goky Eats,2025-09-10T06:32:50.362141+00:00,title|description|tags
tJFhnuYhEd8,buldak,2025-09-09,UCCjKVDATKNJKZ2e71nQduaA,bun buns,2025-09-10T06:32:50.362157+00:00,title|description|tags
OFA6Vxp63i4,buldak,2025-09-09,UCSV66U5bqARUeUW_AoJPS5A,⭐L3O_.NOOB🌼,2025-09-10T06:32:50.362175+00:00,title|description|tags
kTYFQLIk_2M,buldak,2025-09-09,UCtcbUVrbF0Nx-dsVdPZeFHA,Eat and repeat 😋 ,2025-09-10T06:32:50.362189+00:00,title|description|tags
1iDynF0V9zQ,buldak,2025-09-09,UCqBg_dVnTBdOkuYfkX53JHA,Maleez creations ,2025-09-10T06:32:50.362215+00:00,title|description|tags
cx4NzBD_i9I,buldak,2025-09-09,UC5eQ8hlx1Wbg2psB6ZiHNlQ,Girlie Suyat ,2025-09-10T06:32:50.362228+00:00,title|description|tags
GXv-Bkxxsyg,buldak,2025-09-09,UCazbZulnQl20hpiH54JDyng,Saraa De Silva,2025-09-10T06:32:50.362252+00:00,title|description|tags
aNdtKgbd9Iw,buldak,2025-09-09,UCjY-Xu5qkIFR_DSs7VvNMGw,TheSanaSpace!!,2025-09-10T06:32:50.362270+00:00,title|description|tags
NrWxtZE6RJw,buldak,2025-09-09,UCtdsnRTUFl_Bn195K6rVHXA,Pyeoniverse,2025-09-10T06:32:50.362289+00:00,title|description|tags
_Jt5Y6Reg0U,buldak,2025-09-09,UCyDpoOvLtHtr65Ok0xXn66w,Mukbang Asmr,2025-09-10T06:32:50.362304+00:00,title|description|tags
J3vJ5lM-FZ0,buldak,2025-09-09,UCAiKx67_4eDTLO2jMte7Saw,Timeline,2025-09-10T06:32:50.362318+00:00,title|description|tags
Lt8Bqy9r4-A,buldak,2025-09-09,UCVlKd6uvtvphUo4LLJdG6cg,once upon a spice ,2025-09-10T06:32:50.362332+00:00,title|description|tags
fbxtc4bBM6E,buldak,2025-09-09,UCeI7XuA1nwQxEHxe3ey5dlw,KIMSIN OFFICIAL ,2025-09-10T06:32:50.362350+00:00,title|description|tags
A21_Q0V1jns,buldak,2025-09-09,UCDnQ-ZM1tiT0a5lx4LAa9Gg,aimschia,2025-09-10T06:32:50.362363+00:00,title|description|tags
sZppzt4VcmM,buldak,2025-09-09,UCe47DMx-tGVgvXl2ZU4i-NQ,Semmang Vlog,2025-09-10T06:32:50.362384+00:00,title|description|tags
qLOKclFm878,buldak,2025-09-09,UCsOUgvhUC-Pcjf-JwqFhAnw,Slice of Vicki,2025-09-10T06:32:50.362397+00:00,title|description|tags
roRKFZ-OcFY,buldak,2025-09-09,UCZawH76eWRZPYbT-9DpcneA,Nam Cook ÷×스키즈드 네 개-39 ,2025-09-10T06:32:50.362413+00:00,title|description|tags
4E0vWj2XOZs,buldak,2025-09-09,UCZawH76eWRZPYbT-9DpcneA,Nam Cook ÷×스키즈드 네 개-39 ,2025-09-10T06:32:50.362427+00:00,title|description|tags
uD7-7Cjv76U,buldak,2025-09-09,UCCnC3IaNCEeALRzq6lTmivA,ChamCham Diaries,2025-09-10T06:32:50.362441+00:00,title|description|tags
E4w5h6GSZwc,buldak,2025-09-09,UCYXVqmqQ3dxQ_9M54HoANAA,Yummy Yum Cartoons,2025-09-10T06:32:50.362470+00:00,title|description|tags
3ryRHQ-Vkbs,buldak,2025-09-09,UCtRtPFcju6YpzXTIV1rVq0w,☆¡AINTJUSTSTACY!☆,2025-09-10T06:32:50.362484+00:00,title|description|tags
RH2OTtM4CFo,buldak,2025-09-09,UCs30QkWMD93ReNpadTnD1qA,ASMR Foodiee,2025-09-10T06:32:50.362500+00:00,title|description|tags
IwE58a28fQw,buldak,2025-09-09,UCWe07xsdRLZDJQdSRWNBAGQ,AiManr Mar kitchen ,2025-09-10T06:32:50.362515+00:00,title|description|tags
bdDpjBGNJ8k,buldak,2025-09-09,UCwAY7nGTv_BApJYjdwi3VdA,Jiny Maeng,2025-09-10T06:32:50.362531+00:00,title|description|tags
b20KFZOETmc,buldak,2025-09-09,UCKoZUhQeN-cc1Ml2shy6Cmw,sumu's vlog🎀,2025-09-10T06:32:50.362545+00:00,title|description|tags
Bjek-8LZwPc,buldak,2025-09-09,UCl3phZiPCQV6MtBRdo-BmyQ,Hoorlicious👩‍🍳,2025-09-10T06:32:50.362563+00:00,title|description|tags
A1cxD_pM3LI,buldak,2025-09-09,UCEgpyZbIAnLknwRFVv3PNkg,송이🍄,2025-09-10T06:32:50.362586+00:00,title|description|tags
T2cJ9_y3Bts,buldak,2025-09-09,UCoBvFOztcdRNeiwE2QHWgFw,Sanjana ,2025-09-10T06:32:50.362625+00:00,title|description|tags
MQSoluy6mBg,buldak,2025-09-09,UCBT-GaJ5V85Ex4jzpVOBgdA,Authenticc cuiisines,2025-09-10T06:32:50.362640+00:00,title|description|tags
Bv1XuYmerWU,buldak,2025-09-09,UCEEU0FsfmiAyKUJobPxhrbA,maimai’s day,2025-09-10T06:32:50.362653+00:00,title|description|tags
5-nWgxCHM88,buldak,2025-09-09,UCen1quJGT8mW3n1GFN8lvjw,It's Emily,2025-09-10T06:32:50.362669+00:00,title|description|tags
y974B4DCu94,buldak,2025-09-09,UCno1vxi6pIshU7MNBqUvfOg,Cute UwU i,2025-09-10T06:32:50.362681+00:00,title|description|tags
sfMmwdhRuo8,buldak,2025-09-09,UCK4sXejfSZIvVUBszKGB8CQ,Irishastt,2025-09-10T06:32:50.362702+00:00,title|description|tags
PNY2hFQL040,buldak,2025-09-09,UCsk9n9PZs6hwqQY0I4ocPiA,먹찌 mukjji,2025-09-10T06:32:50.362716+00:00,title|description|tags
HGpGZz3JqKo,buldak,2025-09-09,UC5eQ8hlx1Wbg2psB6ZiHNlQ,Girlie Suyat ,2025-09-10T06:32:50.362730+00:00,title|description|tags
jmYlhw30IIQ,buldak,2025-09-09,UCrGEgE77WAhy351YhAZegCQ,SilentBite,2025-09-10T06:32:50.362753+00:00,title|description|tags
u9vVrlWJ8Gw,buldak,2025-09-09,UCheX2f-WmrVyQxUXetuudPw,Romal Food,2025-09-10T06:32:50.362767+00:00,title|description|tags
hYyoTOtHpg0,buldak,2025-09-09,UCFX0-UdoXLk4iTTD8zBCq2g,khan bhai 0012,2025-09-10T06:32:50.362781+00:00,title|description|tags
_JtZAR3Dmfw,buldak,2025-09-09,UC6KFWdKGfqHzEyA0oJWOjYQ,Mahnoor fatima,2025-09-10T06:32:50.362793+00:00,title|description|tags
2WR22Q4oAsI,buldak,2025-09-09,UCqNJ8R8GsGP1t6BNPD3zSAg,TajCorpuz,2025-09-10T06:32:50.362807+00:00,title|description|tags
PS90nOzqyjY,buldak,2025-09-09,UC7kvWXIVeLXLW1UrE_Rb5vA,Radz Kitchen ASMR,2025-09-10T06:32:50.362822+00:00,title|description|tags
jM_v0EGCcv0,buldak,2025-09-09,UCHofT_9E22SBN1TE80ONenw,yoripop,2025-09-10T06:32:50.362841+00:00,title|description|tags
5dFoabft5k0,buldak,2025-09-09,UCvieYS9tnTBbSdsqF2Zjl3w,Mahnoor Lifestyle ,2025-09-10T06:32:50.362864+00:00,title|description|tags
KEmb43w6nv8,buldak,2025-09-09,UCoIr0yvIU18U8q6WGVP8hMQ,Minjus_love,2025-09-10T06:32:50.362878+00:00,title|description|tags
YA8EEM7JOq0,buldak,2025-09-09,UCUt40GunfGw8eknYMxz9vPw,Harmony Flores,2025-09-10T06:32:50.362892+00:00,title|description|tags
yBj1sxL29O8,buldak,2025-09-09,UCt6QVM3d42TP09znzeMduAQ,어벙냠이,2025-09-10T06:32:50.362911+00:00,title|description|tags
HxzM0LHs_qk,buldak,2025-09-09,UCpKatMsBel7BC35P1PLu7CQ,sundae♡,2025-09-10T06:32:50.362965+00:00,title|description|tags
d4CyjIy1H9Q,buldak,2025-09-09,UC9yamsjNQooOmxwD-hFoY0w,cheanis2025,2025-09-10T06:32:50.362983+00:00,title|description|tags
qlarAFScdio,buldak,2025-09-09,UCqNJ8R8GsGP1t6BNPD3zSAg,TajCorpuz,2025-09-10T06:32:50.362997+00:00,title|description|tags
5DaITvgo4cM,buldak,2025-09-09,UCEvqhX1CHSuwHkr50FuSmPA,Mr & Mrs Tamang,2025-09-10T06:32:50.363023+00:00,title|description|tags
Bx0GhZT8XJE,buldak,2025-09-09,UCklSLKGoL98vlS5XFuC9ryg,Judy,2025-09-10T06:32:50.363042+00:00,title|description|tags
VjD4g19M3_o,buldak,2025-09-09,UCsJGpqysfiTdDgZmldv6-FQ,YupYup_Cheese,2025-09-10T06:32:50.363057+00:00,title|description|tags
7psAhEoITKw,buldak,2025-09-09,UCvxvOCEiYz2fG7cQ0TPpC8Q,Moonatic Moon,2025-09-10T06:32:50.363074+00:00,title|description|tags
5LI9TvVx_n8,buldak,2025-09-09,UCsyplZTXgr5w3wiX4RcV9jA,Magical Short Stories,2025-09-10T06:32:50.363089+00:00,title|description|tags
HqXRGdaM380,buldak,2025-09-09,UC42Hjavqeao9GVYS-4tShLw,All of Alisha,2025-09-10T06:32:50.363116+00:00,title|description|tags
nypBC6CoASs,buldak,2025-09-09,UC4LYcgV6qdbVvJrdg42_y4A,Flavor N Fusion,2025-09-10T06:32:50.363132+00:00,title|description|tags
79fikzm-VHw,buldak,2025-09-09,UCl5pEFGR56RIhdsSBmSfJGQ,Keluarga Bapak Suhandi,2025-09-10T06:32:50.363147+00:00,title|description|tags
MogZQttLxLc,buldak,2025-09-09,UCkNc2R2AtsQBlpdw0jT4k7w,boxcat,2025-09-10T06:32:50.363163+00:00,title|description|tags
8-b-r5lG3M8,buldak,2025-09-09,UCKOkxrDCTnrb_Mr7KueuYFQ,Ryannaangelah,2025-09-10T06:32:50.363178+00:00,title|description|tags
_J9I7ZKEE-w,buldak,2025-09-09,UC1J8Cca6drH2rPrKeEsgPCw,Iheartcosmo!<3,2025-09-10T06:32:50.363190+00:00,title|description|tags
bCA8mCfK2sA,buldak,2025-09-09,UC67BSX28gHxOdYTk_XozxDQ,"FMCG VIET., LTD | FMCG EXPORTER IN VIETNAM",2025-09-10T06:32:50.363206+00:00,title|description|tags
U8-x0NlWf7k,buldak,2025-09-09,UCmPODSoSHRqaQEt3jjL2MlQ,Sarang_Bap 밥사랑,2025-09-10T06:32:50.363220+00:00,title|description|tags
BheYUyfwoVA,buldak,2025-09-09,UCGEcgej_eWFS2y5MoMFkgnQ,KRiSTiNAJAY,2025-09-10T06:32:50.363234+00:00,title|description|tags
qdxGAO53W64,buldak,2025-09-09,UCz6IATzs_TzFgQdP43l3cNA,SUN JAE LEE,2025-09-10T06:32:50.363248+00:00,title|description|tags
PRSKNW8sFFw,buldak,2025-09-09,UCAjJoC0oMR0CNVaBEgvnk4Q,ahens cook,2025-09-10T06:32:50.363289+00:00,title|description|tags
x6rEzfxxk-k,buldak,2025-09-09,UCPL5qmVIaVpghVZI5wD3_pA,Simply Grilled,2025-09-10T06:32:50.363307+00:00,title|description|tags
rP1c0Deq7rI,buldak,2025-09-09,UCTbgF4L5OaY8lqr1LcCjJqg,EUROFOODTOGO,2025-09-10T06:32:50.363323+00:00,title|description|tags
u3jia5_e-l0,buldak,2025-09-09,UCFuAJ12sDaSHXjfYGpgH1BA,Krystle Eats,2025-09-10T06:32:50.363335+00:00,title|description|tags
cAyFURIhY9M,buldak,2025-09-09,UCvjAoMWWVcj_N8ViTrXCulA,Starry Violet 🌟,2025-09-10T06:32:50.363349+00:00,title|description|tags
MWnEs2saXrw,buldak,2025-09-09,UC2wqmNwwIsC7UhL6jcmFqQg,foodiecravee,2025-09-10T06:32:50.363364+00:00,title|description|tags
LwK8Nkr9ceo,buldak,2025-09-09,UCl9v0_60k4HFLvR8_-S2Zzw,@Lilly_9382,2025-09-10T06:32:50.363377+00:00,title|description|tags
5AmBh_o2QDY,buldak,2025-09-09,UC9ntBwiWorwNHR8u_mztxEg,Las Sepúlveda Snack 90,2025-09-10T06:32:50.363392+00:00,title|description|tags
9UapJzFG7Wk,buldak,2025-09-09,UC9ohwtuhVQQgVCL9YsQbRNA,Curlylocks ,2025-09-10T06:32:50.363474+00:00,title|description|tags
iI1DZsdkdLE,buldak,2025-09-09,UCnLBGhulkQpRH3iVri5pXtA,Happy kichen,2025-09-10T06:32:50.363490+00:00,title|description|tags
s-SxNxv_8iA,buldak,2025-09-09,UCVUrgBh-ESmGXJnZ7KJ0FLA,Tasty Combos,2025-09-10T06:32:50.363505+00:00,title|description|tags
lz3GzCbYN-o,buldak,2025-09-09,UCmHPj0qoZ0l-fbEe4wXZXug,Ella🤪,2025-09-10T06:32:50.363518+00:00,title|description|tags
UQ5dMTu1oYg,buldak,2025-09-09,UCFhBfSDKDixNDk9beT1LESw,Gabrielle.B,2025-09-10T06:32:50.363532+00:00,title|description|tags
k21aFJmcL_4,buldak,2025-09-09,UCatF9M6RaReZva3VvuWX73w,Pokmini,2025-09-10T06:32:50.363551+00:00,title|description|tags
v5RVJ4_3jHs,buldak,2025-09-09,UCULqP62px6-UaPGdGl4D3Kw,WackyWatermelon,2025-09-10T06:32:50.363566+00:00,title|description|tags
Y1h11m_wYOk,buldak,2025-09-09,UCaRk_rk62LUR0NQLjpwlzZw,Skii-Godd,2025-09-10T06:32:50.363578+00:00,title|description|tags
QpoDHujYycI,buldak,2025-09-09,UCFSDSBqfpRpaoTFPQGlSIHA,K-Life Unboxed,2025-09-10T06:32:50.363593+00:00,title|description|tags
lvLQWjk_c6E,buldak,2025-09-09,UCVARqxaEf13LeUzuCqVOJHg,Creative Creation by Tulip,2025-09-10T06:32:50.363606+00:00,title|description|tags
qD5rlV0L7YQ,buldak,2025-09-09,UCDdz0ea1szdQS8mx6KlEXwg,The Foodie Bongs,2025-09-10T06:32:50.363620+00:00,title|description|tags
ZuRfS83xWV8,buldak,2025-09-09,UC5eQ8hlx1Wbg2psB6ZiHNlQ,Girlie Suyat ,2025-09-10T06:32:50.363635+00:00,title|description|tags
QPkGwFx3N_s,buldak,2025-09-09,UCtYfQErRt_ZSH1BQJB4TvAQ,LM Channel,2025-09-10T06:32:50.363649+00:00,title|description|tags
