video_id,as_of_date_utc,viewCount,likeCount,commentCount
V5bPGihM9wg,2025-09-09,12,5,0
TPvQPCSbZls,2025-09-09,0,0,0
vcqsMyrZYT4,2025-09-09,312,10,0
9DSYoH2jScQ,2025-09-09,127590,2592,183
ZWaJt7uEa1s,2025-09-09,17,3,1
7BMYemUHo8A,2025-09-09,1325,10,1
Hpgehez3QhQ,2025-09-09,15655,123,9
6KmWQHId1TY,2025-09-09,17157,134,0
Nk3mKZv7J5s,2025-09-09,1201,36,4
DEFTeyRsxMY,2025-09-09,534,11,7
Y24fAtuCgtY,2025-09-09,2007,213,1
4PwAUZv3e04,2025-09-09,8300,457,36
oVoQ9ctk_pI,2025-09-09,15,2,0
I2IJtc8FaZY,2025-09-09,0,0,0
VG9t5RcXEhQ,2025-09-09,1688,17,172
qEGy1NabMVw,2025-09-09,1386,24,0
JfGlZoLY7ew,2025-09-09,389,1,0
-kUUKD-nbQY,2025-09-09,672,13,3
YCiV0CaAF5w,2025-09-09,6648,45,3
xxvFrH165L0,2025-09-09,74704,324,0
Sb1y9-ysp3g,2025-09-09,711,15,0
UJulbLsYlso,2025-09-09,91,0,0
cvXm2e3DAe8,2025-09-09,77581,902,68
f-CiblWYx0E,2025-09-09,2327,16,0
AXgxxEVG6bg,2025-09-09,1,1,0
ion4fbf88tA,2025-09-09,230,10,0
cmtJqwteriM,2025-09-09,0,0,0
C9ieK0D0xs0,2025-09-09,3267,0,0
kgwsu_RjaMc,2025-09-09,1004,12,0
s70kFL28Uxw,2025-09-09,35,7,0
TYi9rS6su3w,2025-09-09,595,5,0
_gmWGRmCu8I,2025-09-09,0,0,0
VoqSfhRsbqs,2025-09-09,32588,1401,27
Ioz7m_tDe14,2025-09-09,36942,1979,37
l--MtLJbQO8,2025-09-09,1,0,0
v142POGAs-U,2025-09-09,1237,4,0
pw7T-Eqxt7s,2025-09-09,13,1,0
LNMvP0TtjdE,2025-09-09,238,0,0
mXl_0_BM48U,2025-09-09,0,0,0
zdgaIs027Qc,2025-09-09,2,0,0
NKVjR8uy0S4,2025-09-09,12,2,0
oFtOx2hjgb0,2025-09-09,44,0,0
Tfl4moHUud4,2025-09-09,2442,20,0
EIsKRa8DpmQ,2025-09-09,17131,72,2
LiEOKwOHMmY,2025-09-09,17,2,0
QEl2B-PYkY4,2025-09-09,18,3,0
qTokmgr7PEs,2025-09-09,1,0,0
u104azEXNKw,2025-09-09,22908,847,71
dCA9hdGVohM,2025-09-09,1357,14,0
8pNgTQFpU44,2025-09-09,3,0,0
u7ONH_ghiw4,2025-09-09,845,7,0
bJHut0AruYs,2025-09-09,822,11,0
KQwfcXXTyiU,2025-09-09,0,0,0
MWlHRXLspZQ,2025-09-09,19,1,0
i5RVs7Z_eKk,2025-09-09,5656,90,1
rK99hDa62bk,2025-09-09,1940,10,0
xOHLMLpAVQ4,2025-09-09,19,0,0
x4ArxwVmjnI,2025-09-09,145,4,0
qX1-NyYk4sA,2025-09-09,14,0,0
T94UtE5n-KM,2025-09-09,0,0,0
ynm-64YKr00,2025-09-09,0,0,0
YZAzmaTN2xM,2025-09-09,335,85,8
jg74i2SlYhQ,2025-09-09,919,9,1
sQcE6nSPExw,2025-09-09,234,0,0
rw9GdHkQ8rc,2025-09-09,28710,256,1
XpQBjq8RJRU,2025-09-09,542,8,4
65FtedCamnU,2025-09-09,260,10,10
j1V-bXx-_c0,2025-09-09,1162,26,0
OqZUb5xv7zQ,2025-09-09,2102,0,1
9jdCy811iWg,2025-09-09,1774,18,1
xreMZULIIY8,2025-09-09,3990,47,0
OmPkgDlujoY,2025-09-09,36729,197,0
6Rvg1K6-lDc,2025-09-09,0,0,0
lPGz6Hvl1U8,2025-09-09,13007,106,7
YgdCtR7mK8M,2025-09-09,792,0,1
BlBhM4hyR5k,2025-09-09,4,0,0
eXlE4QfF_5A,2025-09-09,4612,60,5
XfRrhAGvCXw,2025-09-09,7248,27,0
6Fev6YcjVCk,2025-09-09,322,3,0
D2CHAJg0XLk,2025-09-09,68,10,4
tUpbWMEHNDw,2025-09-09,97,16,0
P4Uepq4mO6M,2025-09-09,140,7,0
6BmYHLvUtjQ,2025-09-09,466,3,0
6p87Ix7UmX4,2025-09-09,1,0,0
I4cR9kDHfpE,2025-09-09,5,1,0
DotXRfgraT4,2025-09-09,1742,21,0
I8nDprZPH1o,2025-09-09,254,0,0
AQu3CCsHipc,2025-09-09,2,0,0
ibuYDeaHiAw,2025-09-09,865,4,1
rCvEf6TJM-A,2025-09-09,1368,19,2
NrEECgQ9Xcs,2025-09-09,356,5,0
t-jqjbhSBE0,2025-09-09,0,0,0
OYWWTGwkc2g,2025-09-09,398,2,0
0YLpcFdfRho,2025-09-09,483,2,0
d2tglllRlkE,2025-09-09,265,2,0
XcxQvAjC46o,2025-09-09,19,6,0
_YWW8ymXhJ4,2025-09-09,1676,18,0
H_oqwU40j04,2025-09-09,6362,60,0
4mBTTxrqWmc,2025-09-09,356,12,0
z-OWKi__dQg,2025-09-09,731,3,0
82WbWAze51M,2025-09-09,17,2,0
tpJEr1pFJt0,2025-09-09,16,0,0
vwt1ro3hHcM,2025-09-09,1237,8,5
9DPdSDQcXKc,2025-09-09,45,1,1
fR4YG7GvMPg,2025-09-09,721,25,5
vs7uB6q4W4o,2025-09-09,72,2,0
2dM3Vxax5fY,2025-09-09,84,0,0
RYpPeT6oEOU,2025-09-09,964,14,4
CU719LDO1Wc,2025-09-09,1507,11,0
utW3Cyz543w,2025-09-09,17564,373,19
kBRfyZOjCZM,2025-09-09,1485,13,0
VgV-oPPsGkg,2025-09-09,2669,33,0
GW6nOa0LVUg,2025-09-09,2042,20,5
VhfOmE8SsRA,2025-09-09,2833,60,0
6v4RzBP4ALg,2025-09-09,1028,49,12
JDtLg0iuyic,2025-09-09,4,0,0
zEA97SGJEN8,2025-09-09,8005,614,8
0H5iq7RPA78,2025-09-09,626,11,0
wDx9I0A7aq0,2025-09-09,4844,170,6
cOMfIq_Yb40,2025-09-09,1312,6,0
dabsg_Nf5CQ,2025-09-09,1488,26,0
V3Q8WCEf4oU,2025-09-09,1214,9,0
xe-DH3q0cdU,2025-09-09,738,9,6
uqUwPpRKlH4,2025-09-09,31,6,1
LoAAo0IhKZU,2025-09-09,270,2,0
bKohDIdXrxY,2025-09-09,1128,14,5
mVREMsqsr8A,2025-09-09,1409,7,0
CVNqO4VlIDQ,2025-09-09,1315,2,0
lnJqS_reA8E,2025-09-09,281,1,1
1lBwowd77iI,2025-09-09,364,3,0
4T006RIhVm8,2025-09-09,1931,19,3
ILwKVgjoXjQ,2025-09-09,1577,33,12
YnteKVOHw90,2025-09-09,6,2,0
af7BQnrAfog,2025-09-09,2061,17,0
mcu5FzGpid0,2025-09-09,3511,10,15
d0QMlMgX2DE,2025-09-09,2924,7,9
SLB7UEcfHmY,2025-09-09,5455,14,34
AmiKV0RbNpo,2025-09-09,1675,28,1
mCot3Chr2dM,2025-09-09,33564,107,0
xy5iunOIWYQ,2025-09-09,27800,486,1
kaXEX0J9-DU,2025-09-09,10,3,0
je4uuprrTsw,2025-09-09,7,0,0
2P4Do4LHU8A,2025-09-09,124980,1328,17
QBnBdfVJfQ0,2025-09-09,157,9,5
qaTP8VUqCAY,2025-09-09,400,2,0
kPpTsOPmEzw,2025-09-09,27,1,0
Sk4WK7gD0P4,2025-09-09,380,2,0
hat6PKE6J_I,2025-09-09,111,1,0
NxV_GoYc46M,2025-09-09,12003,251,3
k3FRrklc3P8,2025-09-09,0,0,0
30VMqL-QZE4,2025-09-09,153,1,0
alCARoWQl14,2025-09-09,1493,16,1
EUnW2-6G7K8,2025-09-09,10,0,0
3oLuBSvdjks,2025-09-09,151,8,0
BVZIUgrKH60,2025-09-09,7,0,0
q5JjeUIdS0Y,2025-09-09,11,0,0
cD2S_Blr1dc,2025-09-09,54077,746,2
z9vuUY_y0CU,2025-09-09,21011,332,0
cYqvoyW6LzQ,2025-09-09,67770,1855,7
CUmKRptSQsI,2025-09-09,42451,160,0
IHJXy66Luag,2025-09-09,17,0,0
yH4XBE_nZ_M,2025-09-09,863,0,13
q7t9SjvfmB0,2025-09-09,25486,0,4
CnSyxqt_GHI,2025-09-09,644,10,1
3_E3PfG5E0c,2025-09-09,7181,688,0
jsDA-aq92Eo,2025-09-09,1751,5,0
6_WXK6luZS8,2025-09-09,1041,25,3
jPBsKawQNAQ,2025-09-09,1675,19,1
Q-S-BwoBmwY,2025-09-09,20512,101,1
KTUljBnfDFk,2025-09-09,1263,44,4
JRKIp_uImNw,2025-09-09,69,6,0
EWMZjcEHiOM,2025-09-09,138153,4790,38
tuVUcTUhiqk,2025-09-09,11,0,0
lVyL9GG3INc,2025-09-09,1301,10,1
HFwfFGOkcpM,2025-09-09,1733,12,0
1jDJ2ClXa8I,2025-09-09,480,28,1
_bsc92ykrbA,2025-09-09,11,2,0
1BRvVYBT-XM,2025-09-09,42,1,0
e5worCFR0yY,2025-09-09,2224,19,0
1a3NMmEJuMI,2025-09-09,145,31,1
ciM56eUSaKY,2025-09-09,14,0,0
lraMgmN7O6Q,2025-09-09,4080,0,2
DPhx4LgHKbU,2025-09-09,1098,7,0
d_S_LFaXIBM,2025-09-09,8536,51,0
G2ex4HJcV9A,2025-09-09,17,0,0
kXreVCVT2DE,2025-09-09,1222,23,1
VkjYwAF_H_4,2025-09-09,378,6,0
d1ty0j-YB2M,2025-09-09,4230,9,0
i0j4GBVPTU8,2025-09-09,1498,11,0
3lqXNUaIjss,2025-09-09,100,5,3
JpQFJ_mZd5o,2025-09-09,31222,0,8
YgNFTl0DpPY,2025-09-09,1150,25,0
