date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-09-05,shin ramyun,2025-09-09,9,112631,955,23,인싸요정;Rachel Jhan;Roman Roman
2025-09-05,pulmuone,2025-09-09,1,369,7,0,푸드스타일리스트김윤정 _ 그린테이블
2025-09-05,chum churum,2025-09-09,1,176,1,0,Chum Churum Official
2025-09-04,shin ramyun,2025-09-09,14,538531,1691,282,치카홀릭;esyfilms;Yenster's Korean Eats
2025-09-04,pulmuone,2025-09-09,0,0,0,0,
2025-09-04,chum churum,2025-09-09,0,0,0,0,
2025-09-03,shin ramyun,2025-09-09,7,8886,120,4,Supermercado Otugui;shaonika saha;agrawal 
2025-09-06,shin ramyun,2025-09-09,12,73079,1467,69,T & Lee T.V.;FastFoodGuy;Sheffy
2025-09-04,buldak,2025-09-10,189,1693724,40695,791,문복희 Eat with Boki;aimschia;Donai mukbang
2025-09-04,bibigo,2025-09-10,3,2953,23,0,Tasty Realm;bibigo Vietnam;BapTable
2025-09-09,shin ramyun,2025-09-09,13,51656,471,12,달려라 버스 Dalida Bus;TripleY小袜塞;annie antonio
2025-09-09,pulmuone,2025-09-09,0,0,0,0,
2025-09-09,chum churum,2025-09-09,0,0,0,0,
2025-09-08,shin ramyun,2025-09-09,12,14659,151,4,Nongshim Global;Kay Kay Li;BrightHema
2025-09-08,pulmuone,2025-09-09,1,10156,491,13,N.E Let's Eat
2025-09-08,chum churum,2025-09-09,0,0,0,0,
2025-09-07,shin ramyun,2025-09-09,16,85831,625,65,Hari Karuna Rai;치카홀릭;Bake it Simple
2025-09-07,pulmuone,2025-09-09,0,0,0,0,
2025-09-07,chum churum,2025-09-09,0,0,0,0,
2025-09-01,shin ramen,2025-09-07,0,0,0,0,
2025-09-01,pulmuone,2025-09-07,0,0,0,0,
2025-09-02,bibigo,2025-09-04,0,0,0,0,
2025-09-01,shin ramyun,2025-09-04,0,0,0,0,
2025-09-01,shin ramen,2025-09-04,0,0,0,0,
2025-09-01,samyang,2025-09-04,0,0,0,0,
2025-09-01,pulmuone,2025-09-04,0,0,0,0,
2025-09-01,nongshim,2025-09-04,0,0,0,0,
2025-09-01,jin ramen,2025-09-04,0,0,0,0,
2025-09-01,buldak,2025-09-04,0,0,0,0,
2025-09-01,bibigo,2025-09-04,0,0,0,0,
2025-08-31,shin ramyun,2025-09-04,0,0,0,0,
2025-08-31,shin ramen,2025-09-04,0,0,0,0,
2025-08-31,samyang,2025-09-04,0,0,0,0,
2025-09-02,buldak,2025-09-04,0,0,0,0,
2025-08-31,pulmuone,2025-09-04,0,0,0,0,
2025-08-31,jin ramen,2025-09-04,0,0,0,0,
2025-08-31,buldak,2025-09-04,0,0,0,0,
2025-08-31,bibigo,2025-09-04,0,0,0,0,
2025-08-30,shin ramyun,2025-09-04,0,0,0,0,
2025-08-30,shin ramen,2025-09-04,0,0,0,0,
2025-08-30,samyang,2025-09-04,0,0,0,0,
2025-08-30,pulmuone,2025-09-04,0,0,0,0,
2025-08-30,nongshim,2025-09-04,0,0,0,0,
2025-08-30,jin ramen,2025-09-04,0,0,0,0,
2025-08-30,buldak,2025-09-04,0,0,0,0,
2025-08-30,bibigo,2025-09-04,0,0,0,0,
2025-08-29,shin ramyun,2025-09-04,0,0,0,0,
2025-08-31,nongshim,2025-09-04,0,0,0,0,
2025-09-02,jin ramen,2025-09-04,0,0,0,0,
2025-09-02,nongshim,2025-09-04,0,0,0,0,
2025-09-02,pulmuone,2025-09-04,0,0,0,0,
2025-08-30,shin ramen,2025-09-05,0,0,0,0,
2025-08-30,samyang,2025-09-05,0,0,0,0,
2025-08-30,pulmuone,2025-09-05,0,0,0,0,
2025-08-30,nongshim,2025-09-05,0,0,0,0,
2025-08-30,jin ramen,2025-09-05,0,0,0,0,
2025-08-30,chum churum,2025-09-05,0,0,0,0,
2025-08-30,buldak,2025-09-05,0,0,0,0,
2025-08-30,bibigo,2025-09-05,0,0,0,0,
2025-09-04,shin ramyun,2025-09-04,14,22738,252,35,esyfilms;치카홀릭;Yenster's Korean Eats
2025-09-04,shin ramen,2025-09-04,7,9868,49,4,Immy;cookingbylynn;Home recipes and eating 
2025-09-04,samyang,2025-09-04,80,80698,4951,133,Mak mpom;Tina Mini Cooking;DumDum
2025-09-04,pulmuone,2025-09-04,0,0,0,0,
2025-09-04,nongshim,2025-09-04,9,12895,68,16,Go Inside;Immy;Technaverse 2.0
2025-09-04,jin ramen,2025-09-04,2,2710,19,0,맥스푸드MAXFOOD;Papa's Food Log
2025-09-04,buldak,2025-09-04,189,488617,12454,411,문복희 Eat with Boki;aimschia;Asian Table
2025-09-04,bibigo,2025-09-04,3,1127,4,0,Tasty Realm;bibigo Vietnam;BapTable
2025-09-03,shin ramyun,2025-09-04,7,7825,105,3,Supermercado Otugui;shaonika saha;agrawal 
2025-09-03,shin ramen,2025-09-04,7,38581,2214,52,irene kim 김예린;wannabechefmatt;Foodie girl 💓
2025-09-03,samyang,2025-09-04,87,360943,5284,176,Bé Là Shima;KelvanH;Lilian Grimmxandra【AKA Virtual】
2025-09-03,pulmuone,2025-09-04,1,251,5,0,Andy Shen
2025-09-03,nongshim,2025-09-04,18,20668,272,10,NS RedForce;Loleventvods - LoL Esports: VODs & Montages;BusyGamersOfficial
2025-09-03,jin ramen,2025-09-04,3,3384,75,8,Foodtrip rangerTV;Cath Official Vlog;Korean Ahjussi
2025-09-03,buldak,2025-09-04,230,982553,27164,1701,Kim&Liz ASMR;HONG SOUND;하지훈 ha ji hoon
2025-09-03,bibigo,2025-09-04,5,13255,181,13,"Mystery Maven;뚝사마의 피자놀이 ddooksama ピザ遊び Ehi, la pizza.;Cabreranali"
2025-09-02,shin ramyun,2025-09-04,0,0,0,0,
2025-09-02,shin ramen,2025-09-04,0,0,0,0,
2025-09-02,samyang,2025-09-04,0,0,0,0,
2025-08-29,shin ramen,2025-09-04,0,0,0,0,
2025-08-29,samyang,2025-09-04,0,0,0,0,
2025-08-29,pulmuone,2025-09-04,0,0,0,0,
2025-08-29,nongshim,2025-09-04,0,0,0,0,
2025-08-31,jin ramen,2025-09-03,0,0,0,0,
2025-08-31,buldak,2025-09-03,0,0,0,0,
2025-08-31,bibigo,2025-09-03,0,0,0,0,
2025-08-30,shin ramyun,2025-09-03,0,0,0,0,
2025-08-30,shin ramen,2025-09-03,0,0,0,0,
2025-08-30,samyang,2025-09-03,0,0,0,0,
2025-08-30,pulmuone,2025-09-03,0,0,0,0,
2025-08-30,nongshim,2025-09-03,0,0,0,0,
2025-08-30,jin ramen,2025-09-03,0,0,0,0,
2025-08-30,buldak,2025-09-03,0,0,0,0,
2025-08-30,bibigo,2025-09-03,0,0,0,0,
2025-08-29,shin ramyun,2025-09-03,0,0,0,0,
2025-08-29,shin ramen,2025-09-03,0,0,0,0,
2025-08-29,samyang,2025-09-03,0,0,0,0,
2025-08-29,pulmuone,2025-09-03,0,0,0,0,
2025-08-29,nongshim,2025-09-03,0,0,0,0,
2025-08-29,jin ramen,2025-09-03,0,0,0,0,
2025-08-29,buldak,2025-09-03,0,0,0,0,
2025-08-29,bibigo,2025-09-03,0,0,0,0,
2025-08-28,shin ramyun,2025-09-03,0,0,0,0,
2025-08-28,shin ramen,2025-09-03,0,0,0,0,
2025-08-28,samyang,2025-09-03,0,0,0,0,
2025-08-28,pulmuone,2025-09-03,0,0,0,0,
2025-08-28,nongshim,2025-09-03,0,0,0,0,
2025-08-28,jin ramen,2025-09-03,0,0,0,0,
2025-08-28,buldak,2025-09-03,0,0,0,0,
2025-09-01,samyang,2025-09-07,0,0,0,0,
2025-08-31,nongshim,2025-09-03,0,0,0,0,
2025-08-30,shin ramyun,2025-09-05,0,0,0,0,
2025-08-31,pulmuone,2025-09-03,0,0,0,0,
2025-08-31,shin ramen,2025-09-03,0,0,0,0,
2025-08-29,jin ramen,2025-09-04,0,0,0,0,
2025-08-29,buldak,2025-09-04,0,0,0,0,
