video_id,as_of_date_utc,viewCount,likeCount,commentCount
TOhszVbA5yI,2025-09-11,921,29,0
kpQNtA7El9o,2025-09-11,117,0,1
nFHH-3Zy3Z0,2025-09-11,4,1,0
Fumxyfp9j-w,2025-09-11,772,20,0
Kzjc7_bit24,2025-09-11,251,3,3
aDQoRlsZ-5E,2025-09-11,253,3,2
0HLanRNI3mI,2025-09-11,1211,15,0
a_4-kdVbFJg,2025-09-11,3038,146,0
nNstJa0DLGY,2025-09-11,234,3,0
4cFLZMO9CXQ,2025-09-11,3,0,0
8PmdidfXE9w,2025-09-11,1415,46,0
4ZVUGBGAnWo,2025-09-11,244,8,1
T_ZvEMdo1Ig,2025-09-11,14638,163,0
gflQEaWDL58,2025-09-11,1,1,0
TX7sFZ9tpaM,2025-09-11,865,16,0
cmtWxVHHN3E,2025-09-11,138,4,5
lfbn4BXTX24,2025-09-11,597,10,0
4ex218MczJI,2025-09-11,168,5,1
xvPRjQBXNwM,2025-09-11,236,7,6
FotBIvwQjNo,2025-09-11,1005,12,1
_cES5OdgZSE,2025-09-11,23,3,0
VM8-qNBiGkA,2025-09-11,328,2,0
K4SBZhch57w,2025-09-11,8,1,0
qBmbk8VJ1E4,2025-09-11,28,4,22
x9OF_JAtYPU,2025-09-11,160,3,0
DylkRZWIddo,2025-09-11,968,8,0
d9B_K2lWbtU,2025-09-11,2403,89,0
jiQJwIoFAjg,2025-09-11,21,2,0
pKZJADxAe4Q,2025-09-11,46,5,1
oVl9vsiBiN0,2025-09-11,1204,21,0
Q8KmgMD7EIw,2025-09-11,102,2,0
FKceDMKsa_0,2025-09-11,391,4,0
ZWrSYhaN7Vw,2025-09-11,652,0,0
9jVVB4MydBM,2025-09-11,1862,11,1
o_PW0nzQ_8A,2025-09-11,368,13,0
oNNOi4NUVk0,2025-09-11,2065,14,0
EzwmdCi4rwk,2025-09-11,2577,51,5
4-Y0Hnce754,2025-09-11,15,1,0
56yN6Ld7M24,2025-09-11,141,2,0
3VXMaoIzywk,2025-09-11,0,0,0
yQ_1U3tSwpg,2025-09-11,1207,28,5
HKOb6GQvpjs,2025-09-11,19,0,0
eDlRZFT2skk,2025-09-11,6,0,0
YBnKsSizjwo,2025-09-11,215,0,0
WzuFolnOY0w,2025-09-11,722,5,0
i61dzmwswU0,2025-09-11,1754,59,4
iY9knzoK5V0,2025-09-11,1772,21,0
EmkuiIFdvg0,2025-09-11,168,5,0
Umta3uTJIbk,2025-09-11,444,14,0
ZsGn5sj37sA,2025-09-11,16,1,0
piU8cYBX_oU,2025-09-11,2387,71,2
EH9fDPUlp8o,2025-09-11,1285,18,0
yPZY7iDQ2pQ,2025-09-11,1078,0,0
CWreQ_3XKL4,2025-09-11,0,0,0
KpDCYNS9PcQ,2025-09-11,106,0,0
aKJ_ogYusF8,2025-09-11,1106,10,0
qQped-XmJsQ,2025-09-11,1680,31,6
u7iPDdnHgC4,2025-09-11,105,3,0
bGNMgyxQHgo,2025-09-11,1855,0,0
gRQNeVslSJA,2025-09-11,165,3,0
MtcRnScNmCw,2025-09-11,39,6,2
Nruifd86n9k,2025-09-11,466,47,2
zf5V-RH-Ej4,2025-09-11,8056,324,8
gV9N5ksjals,2025-09-11,614,17,0
JcoU8700ImA,2025-09-11,1529,79,0
S2_nTdjhESg,2025-09-11,2286,104,1
gSFJqbUK4uA,2025-09-11,3116,164,0
