report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-09-15,zerobaseone,789,3522650,285498,10389,
2025-09-16,&team,312,1088668,46509,2005,
2025-09-16,aespa,2468,48082458,1450646,51252,
2025-09-16,ateez,2298,7851690,448254,17743,
2025-09-16,babymonster,2543,48762051,1868127,49744,
2025-09-16,blackpink,2525,122217050,2485967,113843,
2025-09-16,boynextdoor,585,3846126,301190,5404,
2025-09-16,bts,2525,209453875,3890297,112689,
2025-09-16,cravity,147,424465,18118,592,
2025-09-16,day6,1569,3925000,122146,7173,
2025-09-16,dearalice,9,32083,2895,87,
2025-09-16,enhypen,2548,33736095,1841485,43613,
2025-09-16,gidle,1162,6386316,96887,7197,
2025-09-16,hearts2hearts,1046,12812119,636221,10007,
2025-09-16,illit,2433,23704858,1075084,26798,
2025-09-16,itzy,2562,25180654,625680,65126,
2025-09-16,ive,2487,34759199,874285,23599,
2025-09-16,izna,293,1652462,63348,1980,
2025-09-16,j hope,2367,21617907,803308,21107,
2025-09-16,katseye,2548,143013541,5432966,118059,
2025-09-16,kickflip,747,2118811,125518,4583,
2025-09-16,kiiikiii,339,707464,25895,963,
2025-09-16,le sserafim,1546,23949592,924342,19201,
2025-09-16,misamo,61,267944,5493,206,
2025-09-16,nct,2281,12321932,698823,15842,
2025-09-16,nct 127,858,7716263,498119,5100,
2025-09-16,nct dream,1245,8353628,580876,5676,
2025-09-16,nct wish,610,6434466,312031,9411,
2025-09-16,newjeans,2458,11557439,335270,22790,
2025-09-16,nexz,156,622939,57344,2607,
2025-09-16,niziu,221,3711607,96094,1640,
2025-09-16,njz,447,2580503,128990,2851,
2025-09-16,nmixx,690,12644308,282179,7998,
2025-09-16,riize,570,2260159,136294,4932,
2025-09-16,seventeen,2486,25887788,1100034,16606,
2025-09-16,stray kids,2515,36629464,3013249,89541,
2025-09-16,tomorrow x together,362,8538555,547696,7238,
2025-09-16,twice,2505,72379214,1961315,62333,
2025-09-16,tws,1295,4525197,109736,4715,
2025-09-16,vcha,42,42311,761,99,
2025-09-16,weverse,1035,2834777,110564,4101,
2025-09-16,xdinary heroes,291,710031,19774,1161,
2025-09-16,zerobaseone,925,4223047,339223,11820,
2025-09-14,&team,224,731155,28883,1227,
2025-09-14,aespa,2087,33614742,1034205,38640,
2025-09-14,ateez,1864,6227082,245581,7901,
2025-09-14,babymonster,2052,44958717,1740954,46202,
2025-09-14,blackpink,2058,94668154,1978832,96259,
2025-09-14,boynextdoor,490,3001991,240514,3547,
2025-09-14,bts,2120,152684684,2838968,90520,
2025-09-14,cravity,110,339042,13315,368,
2025-09-14,day6,1355,2986199,85385,6178,
2025-09-14,dearalice,10,31102,2911,83,
2025-09-14,enhypen,2115,24676738,1363978,35459,
2025-09-14,gidle,1002,5999725,91250,6639,
2025-09-14,hearts2hearts,943,10035026,477538,7835,
2025-09-14,illit,2035,20126964,1015176,22824,
2025-09-14,itzy,2211,18469325,473885,53283,
2025-09-14,ive,2004,25615675,736588,21134,
2025-09-14,izna,241,1183561,56921,1752,
2025-09-14,j hope,1917,22290056,864717,20031,
2025-09-14,katseye,2170,97479326,3920282,100211,
2025-09-14,kickflip,579,1332797,70736,2754,
2025-09-14,kiiikiii,305,667245,24519,810,
2025-09-14,le sserafim,1343,19216197,734614,16149,
2025-09-14,misamo,51,171882,2995,167,
2025-09-14,nct,1940,8968848,577988,14222,
2025-09-14,nct 127,705,5601966,391994,4508,
2025-09-14,nct dream,1104,6651509,500235,5172,
2025-09-14,nct wish,504,4318427,205458,7025,
2025-09-14,newjeans,2113,9211671,281938,19485,
2025-09-14,nexz,147,492191,52208,2585,
2025-09-14,niziu,169,2671163,68720,1435,
2025-09-14,njz,376,1592804,88646,2194,
2025-09-14,nmixx,568,9006369,217993,5628,
2025-09-14,riize,399,1432973,82917,3490,
2025-09-14,seventeen,2089,14311868,664810,11041,
2025-09-14,stray kids,2152,22464936,1707490,37828,
2025-09-14,tomorrow x together,405,6628422,492435,5653,
2025-09-14,twice,2085,55553993,1537430,49805,
2025-09-14,tws,1050,2734412,78754,3589,
2025-09-14,vcha,38,34121,593,133,
2025-09-14,weverse,919,1942056,91450,3553,
2025-09-14,xdinary heroes,141,350903,11740,614,
2025-09-14,zerobaseone,828,3830435,304411,10827,
2025-09-17,&team,375,1322622,54706,2197,
2025-09-17,aespa,2959,60393819,1813948,59559,
2025-09-17,ateez,2787,9479526,539699,20986,
2025-09-17,babymonster,3041,59058986,2192138,57238,
2025-09-17,blackpink,3016,153368413,3141141,136005,
2025-09-17,boynextdoor,701,5012766,386496,6541,
2025-09-17,bts,3017,259448014,4751563,135381,
2025-09-17,cravity,187,563010,27577,778,
2025-09-17,day6,1856,4875014,144526,8071,
2025-09-17,dearalice,10,56788,4339,109,
2025-09-17,enhypen,3041,42200754,2274389,51944,
2025-09-17,gidle,1476,7474322,112028,8466,
2025-09-17,hearts2hearts,1403,19087207,868633,14194,
2025-09-17,illit,2914,29453324,1285819,32872,
2025-09-17,itzy,3057,31169694,754982,76862,
2025-09-17,ive,2973,40747080,1014164,27817,
2025-09-17,izna,367,2298171,87786,2707,
2025-09-17,j hope,2771,27384479,993331,25150,
2025-09-17,katseye,3044,190352840,7272692,150623,
2025-09-17,kickflip,921,2820884,158038,5632,
2025-09-17,kiiikiii,388,796807,30435,1438,
2025-09-17,le sserafim,1784,28217550,1074400,21569,
2025-09-17,misamo,69,341048,8075,237,
2025-09-17,nct,2711,15567885,883881,20459,
2025-09-17,nct 127,997,9764360,650031,7866,
2025-09-17,nct dream,1460,10142380,715386,8461,
2025-09-17,nct wish,698,7608847,366617,10656,
2025-09-17,newjeans,2940,14449593,420643,26919,
2025-09-17,nexz,187,801817,72639,3122,
2025-09-17,niziu,251,4701005,110806,1900,
2025-09-17,njz,525,3004065,149466,3419,
2025-09-17,nmixx,810,15577840,338830,10102,
2025-09-17,riize,660,2822515,159074,5719,
2025-09-17,seventeen,2973,33463283,1446021,22984,
2025-09-17,stray kids,3006,44247872,3538715,100436,
2025-09-17,tomorrow x together,413,10964235,680757,8832,
2025-09-17,twice,2994,91297494,2341500,77329,
2025-09-17,tws,1568,5941133,154473,6425,
2025-09-17,vcha,44,45782,841,108,
2025-09-17,weverse,1201,3397496,133445,4931,
2025-09-17,xdinary heroes,374,901594,23349,1300,
2025-09-17,zerobaseone,1041,4906406,383651,13034,
