date,close,volume,ticker
2018-12-27,6565.0,27703,228810.KS
2018-12-28,6595.0,2862,228810.KS
2019-01-02,6505.0,14228,228810.KS
2019-01-03,6440.0,7486,228810.KS
2019-01-04,6600.0,5862,228810.KS
2019-01-07,6775.0,20062,228810.KS
2019-01-09,6790.0,2802,228810.KS
2019-01-10,6840.0,1789,228810.KS
2019-01-11,6845.0,64261,228810.KS
2019-01-14,6885.0,13230,228810.KS
2019-01-15,6980.0,3863,228810.KS
2019-01-16,6990.0,13949,228810.KS
2019-01-17,6770.0,98577,228810.KS
2019-01-18,6735.0,71411,228810.KS
2019-01-21,6580.0,48160,228810.KS
2019-01-22,6595.0,76302,228810.KS
2019-01-23,6570.0,8881,228810.KS
2019-01-24,6585.0,27064,228810.KS
2019-01-25,6675.0,27469,228810.KS
2019-01-28,6655.0,28436,228810.KS
2019-01-29,6605.0,63005,228810.KS
2019-01-30,6615.0,13328,228810.KS
2019-01-31,6720.0,111271,228810.KS
2019-02-01,6680.0,251978,228810.KS
2019-02-07,6810.0,11024,228810.KS
2019-02-08,6820.0,26915,228810.KS
2019-02-11,6905.0,14606,228810.KS
2019-02-12,6790.0,13271,228810.KS
2019-02-13,6820.0,54688,228810.KS
2019-02-14,6810.0,10799,228810.KS
2019-02-15,6880.0,15251,228810.KS
2019-02-18,6915.0,7887,228810.KS
2019-02-19,6975.0,10373,228810.KS
2019-02-20,7005.0,28507,228810.KS
2019-02-21,7080.0,62311,228810.KS
2019-02-22,7020.0,22628,228810.KS
2019-02-25,7090.0,21617,228810.KS
2019-02-26,7015.0,13185,228810.KS
2019-02-27,6970.0,11661,228810.KS
2019-02-28,6870.0,8166,228810.KS
2019-03-04,6965.0,3440,228810.KS
2019-03-05,6900.0,4798,228810.KS
2019-03-06,7000.0,12720,228810.KS
2019-03-07,6915.0,4979,228810.KS
2019-03-08,6990.0,22640,228810.KS
2019-03-11,6860.0,21316,228810.KS
2019-03-12,6910.0,57128,228810.KS
2019-03-13,6910.0,7487,228810.KS
2019-03-14,6820.0,7496,228810.KS
2019-03-15,6685.0,98701,228810.KS
2019-03-18,6815.0,9025,228810.KS
2019-03-19,6770.0,6729,228810.KS
2019-03-20,6730.0,7495,228810.KS
2019-03-21,6700.0,20840,228810.KS
2019-03-22,6660.0,1677,228810.KS
2019-03-25,6510.0,6386,228810.KS
2019-03-26,6645.0,18977,228810.KS
2019-03-27,6570.0,22221,228810.KS
2019-03-28,6560.0,55035,228810.KS
2019-03-29,6685.0,25767,228810.KS
2019-04-01,6700.0,30899,228810.KS
2019-04-02,6745.0,6548,228810.KS
2019-04-03,6830.0,25253,228810.KS
2019-04-04,6830.0,51309,228810.KS
2019-04-05,6815.0,4056,228810.KS
2019-04-08,6810.0,9399,228810.KS
2019-04-09,6765.0,32678,228810.KS
2019-04-10,6755.0,47316,228810.KS
2019-04-11,6820.0,4799,228810.KS
2019-04-12,6800.0,15277,228810.KS
2019-04-15,6980.0,21688,228810.KS
2019-04-16,7140.0,45963,228810.KS
2019-04-17,7075.0,17872,228810.KS
2019-04-18,6900.0,13110,228810.KS
2019-04-19,6900.0,4623,228810.KS
2019-04-22,7060.0,10703,228810.KS
2019-04-23,7025.0,6429,228810.KS
2019-04-24,6980.0,7353,228810.KS
2019-04-25,6830.0,6703,228810.KS
2019-04-26,6750.0,26507,228810.KS
2019-04-29,6770.0,115312,228810.KS
2019-04-30,6850.0,173761,228810.KS
2019-05-02,6925.0,257144,228810.KS
2019-05-03,6915.0,177226,228810.KS
2019-05-07,6810.0,8365,228810.KS
2019-05-08,6715.0,183834,228810.KS
2019-05-09,6550.0,88130,228810.KS
2019-05-10,6445.0,70554,228810.KS
2019-05-13,6305.0,483446,228810.KS
2019-05-14,6335.0,191302,228810.KS
2019-05-15,6465.0,75805,228810.KS
2019-05-16,6425.0,75641,228810.KS
2019-05-17,6345.0,201678,228810.KS
2019-05-20,6360.0,5704,228810.KS
2019-05-21,6300.0,148029,228810.KS
2019-05-22,6225.0,1338,228810.KS
2019-05-23,6060.0,3196,228810.KS
2019-05-24,5950.0,40418,228810.KS
2019-05-27,5935.0,52909,228810.KS
2019-05-28,5960.0,1059,228810.KS
2019-05-29,5870.0,10828,228810.KS
2019-05-30,5980.0,72725,228810.KS
2019-05-31,6045.0,28898,228810.KS
2019-06-03,6015.0,21009,228810.KS
2019-06-04,6085.0,1355,228810.KS
2019-06-05,6175.0,5312,228810.KS
2019-06-07,6300.0,41484,228810.KS
2019-06-10,6355.0,21234,228810.KS
2019-06-11,6375.0,1200,228810.KS
2019-06-12,6345.0,2277,228810.KS
2019-06-13,6365.0,5056,228810.KS
2019-06-14,6240.0,19386,228810.KS
2019-06-17,6205.0,665,228810.KS
2019-06-18,6165.0,614,228810.KS
2019-06-19,6205.0,824,228810.KS
2019-06-20,6235.0,11024,228810.KS
2019-06-21,6165.0,7188,228810.KS
2019-06-24,6050.0,19317,228810.KS
2019-06-25,6020.0,23437,228810.KS
2019-06-26,5990.0,14650,228810.KS
2019-06-27,5945.0,10019,228810.KS
2019-06-28,5950.0,577,228810.KS
2019-07-01,5845.0,25088,228810.KS
2019-07-02,5850.0,3528,228810.KS
2019-07-03,5755.0,46816,228810.KS
2019-07-04,5770.0,14276,228810.KS
2019-07-05,5820.0,16197,228810.KS
2019-07-08,5655.0,18070,228810.KS
2019-07-09,5620.0,10775,228810.KS
2019-07-10,5720.0,20066,228810.KS
2019-07-11,5800.0,9472,228810.KS
2019-07-12,5760.0,3254,228810.KS
